barangay,district,population,area,popden,violators
Acacia,2,5735,19.54,293.5,294
Baritan,1,11476,33.01,347.65,106
Bayan-Bayanan,1,7326,8.46,865.96,75
Catmon,1,36450,97.77,372.81,1513
Concepcion,1,11806,33.97,347.54,847
Dampalit,1,11245,261.9,42.94,77
Flores,1,4282,9,475.78,78
Hulong Duhat,1,10466,56.61,184.88,340
Ibaba,1,7630,16.56,460.75,79
Longos,2,48039,89.99,533.83,1231
Maysilo,1,11213,126.53,88.62,127
Muzon,1,5689,49.71,114.44,151
Niugan,1,5936,31.38,189.17,37
Panghulo,1,12772,121.53,105.09,174
Potrero,2,41407,302.71,136.79,1066
San Agustin,1,11156,31.59,353.14,264
Santulan,1,15872,46.85,338.78,162
Tanong,1,14620,33.83,432.16,443
Tinajeros,2,17901,84.78,211.15,235
Tonsuya,2,39354,59.4,662.53,845
Tugatog,2,22960,55.4,414.44,449
